,height_min (cm),height_max (cm),height_ave (cm),SSA (m2/kg),Equiv. Diam (mm)
0,3.0,5.0,4.0,11.70834242093784,0.5588387331125921
1,5.0,7.0,6.0,11.185398037077425,0.5849657941251886
2,7.0,9.0,8.0,11.095223555070882,0.589720000943552
3,9.0,11.0,10.0,10.635496183206108,0.6152110943067339
4,10.0,12.0,11.0,10.697077426390402,0.6116694293735895
5,12.0,14.0,13.0,10.75835332606325,0.6081855695809905
6,14.0,16.0,15.0,11.52031624863686,0.5679596900076012
7,16.0,18.0,17.0,11.853042529989095,0.5520165163341687
8,18.0,20.0,19.0,10.670556161395856,0.6131897106766547
9,20.0,22.0,21.0,11.502235550708832,0.5688524823300198
10,22.0,24.0,23.0,11.540567066521266,0.5669630623564874
11,24.0,26.0,25.0,11.943315158124317,0.547844141993897
12,25.0,27.0,26.0,11.696924754634678,0.5593842298397924
13,27.0,29.0,28.0,11.271221374045801,0.5805116436122918
14,29.0,31.0,30.0,11.020076335877862,0.5937413721956853
15,31.0,33.0,32.0,11.171494002181024,0.5856938422101743
16,33.0,35.0,34.0,11.880556161395855,0.5507381267744094
17,33.0,35.0,34.0,11.275714285714285,0.5802803334290797
18,35.0,37.0,36.0,11.413107960741549,0.573294782444185
19,36.5,38.5,37.5,11.390970556161395,0.5744089332077293
20,38.0,40.0,39.0,11.554711014176663,0.5662690514143985
21,40.0,42.0,41.0,10.870839694656489,0.6018923495469757
22,41.0,43.0,42.0,10.893751363140677,0.6006264533908866
23,43.0,45.0,44.0,10.943336968375137,0.5979049410864331
24,44.0,46.0,45.0,11.022900763358779,0.593589236248516
25,46.0,48.0,47.0,12.077153762268265,0.5417729519853722
26,48.0,50.0,49.0,11.684460196292257,0.559980960647338
27,48.0,50.0,49.0,13.940294438386042,0.46936420706784265
28,52.0,54.0,53.0,13.423522355507087,0.4874335567133006
29,52.0,54.0,53.0,13.45185387131952,0.48640695237670595
30,54.0,56.0,55.0,13.105627044711014,0.49925693925540815
31,54.0,56.0,55.0,13.334711014176664,0.49067994337553456
32,55.0,57.0,56.0,13.66699018538713,0.4787502702944235
33,57.0,59.0,58.0,13.953816793893129,0.4689093559139239
34,59.5,61.5,60.5,13.327197382769901,0.4909565798000825
35,61.0,63.0,62.0,13.89441657579062,0.4709139969767322
36,63.0,65.0,64.0,13.490218102508178,0.4850236812812386
37,63.0,65.0,64.0,14.384601962922574,0.45486661794539784
38,65.0,67.0,66.0,13.925496183206105,0.46986298795271303
39,67.0,69.0,68.0,16.700839694656487,0.3917812136990219
40,69.0,71.0,70.0,17.59401308615049,0.37189214384044345
41,71.0,73.0,72.0,18.868484187568153,0.34677270205289445
42,73.0,75.0,74.0,19.800556161395853,0.3304490637551902
43,75.5,77.5,76.5,20.221046892039258,0.323577472536362
44,76.0,78.0,77.0,20.17194111232279,0.3243651768033487
45,78.0,80.0,79.0,19.249869138495093,0.3399023234023316
46,78.0,80.0,79.0,19.85772082878953,0.3294977959343267
47,79.0,81.0,80.0,19.736128680479826,0.33152779611924615
48,81.0,83.0,82.0,18.717230098146125,0.3495749750927831
49,83.0,85.0,84.0,18.673729552889856,0.35038931172443516
50,85.0,87.0,86.0,18.395408942202835,0.35569066531346133
51,87.0,89.0,88.0,17.854209378407848,0.3664724159266469
52,89.0,91.0,90.0,17.41896401308615,0.3756294140368956
53,91.0,93.0,92.0,20.804263904034894,0.31450645288614715
54,92.0,94.0,93.0,20.41233369683751,0.3205451832476677
55,93.0,95.0,94.0,19.383587786259543,0.3375574902600599
56,95.0,97.0,96.0,19.249934569247547,0.3399011680703641
57,96.0,98.0,97.0,19.101886586695745,0.3425355509084899
58,98.0,100.0,99.0,18.612562704471102,0.35154080334104376
59,100.0,102.0,101.0,18.830141766630316,0.3474788095839289
60,102.0,104.0,103.0,18.76419847328244,0.34869995937645476
61,104.5,106.5,105.5,22.918113413304255,0.2854979870012766
62,104.5,106.5,105.5,23.850981461286803,0.27433148845407346
63,106.0,108.0,107.0,23.48040348964013,0.27866110768719177
